Number,Department,CountryFull,City,City_code,StreetAddress,StateFull,State,Country,ZipCode,UPS,TelephoneNumber
D8PAU2,Department 98,Australia,PINE CREEK,CP710,98 Austin Road,Northern Territory,NT,AU,847,1Z 803 63Y 04 6265 669 2,(08) 8937 1246
D6TUS6,Department 1405,United States,Tonganoxie,CT610,1405 Better Street,Kansas,KS,US,66086,1Z 086 674 27 8821 011 6,913-369-7180
D4BAU1,Department 49,Australia,BARDON,CB56,49 Davis Street,Queensland,QLD,AU,4065,1Z 763 125 49 5376 074 1,(07) 3633 0637
D8EUS8,Department 15,United States,El Paso,CE97,15 Berry Street,Colorado,CO,US,80909,1Z 2Y9 3W3 06 8338 134 8,719-683-7195
DTCCA7,Department 1304,Canada,Cold Lake,CC09,1304 47th Avenue,Alberta,AB,CA,T0A 0V0,1Z 08V 357 89 3446 830 7,780-639-3900
D4SAT9,Department Alpenstrasse,Austria,STEINBACH,CS19,Alpenstrasse 62,Upper Austria,OO,AT,4941,1Z 684 375 06 8274 928 9,0664 802 74 34
D4OAT2,Department Gewerbepark,Austria,OBERHART,CO28,Gewerbepark 14,Upper Austria,OO,AT,4642,1Z 7Y2 67E 55 7231 663 2,0660 214 80 74
DTBCA2,Department 2683,Canada,Byemoor,CB07,2683 90th Avenue,Alberta,AB,CA,T0J 0L0,1Z 008 613 58 8786 424 2,403-579-1852
DWHGB3,Department 14,United Kingdom,HAMMERWICH,CHG10,14 Bury Rd,,,GB,WS7 6JG,1Z 579 737 78 2915 773 3,078 8012 0067
DNHGB8,Department 22,United Kingdom,HOUGHAM,CHB7,22 St James Boulevard,,,GB,NG32 6PB,1Z 028 29E 51 5722 680 8,077 3003 1860
D7NAU0,Department 61,Australia,NOTLEY HILLS,CN512,61 Quoin Road,Tasmania,TAS,AU,7275,1Z 150 915 82 4855 281 0,(03) 6221 8218
D5HAT4,Department Glocknerstrasse,Austria,HOCHBURG,CH28,Glocknerstrasse 8,Upper Austria,OO,AT,5122,1Z Y50 795 17 8653 265 4,0660 663 13 31
D3CAU4,Department 54,Australia,COMBIENBAR,CC910,54 Crofts Road,Victoria,VIC,AU,3889,1Z 714 Y59 39 3931 201 4,(03) 5386 5474
DVKCA2,Department 2277,Canada,Kelowna,CK27,2277 Hardy Street,British Columbia,BC,CA,V1Y 8H2,1Z 477 160 57 5920 787 2,250-763-4643
D9SUS4,Department 3078,United States,Seattle,CS27,3078 Owagner Lane,Washington,WA,US,98122,1Z A47 300 46 6720 981 4,206-320-4766
D8SAT6,Department Holzstrasse,Austria,SANKT BARTHOLOMÄ,CS116,Holzstrasse 38,Styria,ST,AT,8151,1Z 795 753 85 8289 378 6,0660 594 51 76
D4PAU7,Department 3,Australia,PINE MOUNTAIN,CP613,3 McLaughlin Road,Queensland,QLD,AU,4306,1Z 605 45W 80 1245 386 7,(07) 4563 5141
DIWGB2,Department 21,United Kingdom,WINSTON,CWY7,21 Folkestone Road,,,GB,IP14 6UY,1Z 51A 87W 15 1332 240 2,077 2766 1337
DBDGB0,Department 83,United Kingdom,DEAN,CDH4,83 Ings Lane,,,GB,BA4 6QH,1Z W25 V97 69 7181 612 0,077 1300 5075
D2LAU8,Department 60,Australia,LAMBTON,CL97,60 Webb Road,New South Wales,NSW,AU,2299,1Z 332 99F 31 7504 948 8,(02) 4949 0120
DOMGB4,Department 72,United Kingdom,MILTON-UNDER-WYCHWOOD,CMG21,72 South Western Terrace,,,GB,OX7 3WG,1Z 738 559 61 1682 251 4,079 3141 1528
DXQCA0,Department 1839,Canada,Qikiqtarjuaq,CQ012,1839 49th Avenue,Nunavut,NU,CA,X0A 0B0,1Z 660 175 30 7265 563 0,867-927-6528
DKLCA6,Department 1467,Canada,Lakefield,CL09,1467 Reserve St,Ontario,ON,CA,K0L 2H0,1Z 499 W16 37 2121 857 6,705-652-0763
DDBGB7,Department 32,United Kingdom,BENVIE,CBS6,32 Academy Street,,,GB,DD2 4TS,1Z 2Y5 952 68 6038 326 7,077 6409 0139
DMTCA0,Department 4494,Canada,Toronto,CT87,4494 Bay Street,Ontario,ON,CA,M5J 2R8,1Z 288 514 87 3184 901 0,416-837-0825
D1CUS6,Department 973,United States,Collegeville,CC612,973 Tree Top Lane,Pennsylvania,PA,US,19426,1Z 133 260 11 2908 664 6,610-244-7629
D3TAU1,Department 33,Australia,TENNYSON,CT28,33 Armstrong Street,Victoria,VIC,AU,3572,1Z A03 472 62 7253 403 1,(03) 5364 6278
D3BAU6,Department 28,Australia,BALLAPUR,CB38,28 Sullivan Court,Victoria,VIC,AU,3483,1Z 947 V28 87 4671 593 6,(03) 5314 2671
D9FAT2,Department Traungasse,Austria,FAAK AM SEE,CF011,Traungasse 19,Carinthia,KA,AT,9580,1Z 09Y Y81 73 3849 431 2,0650 136 40 36
D2AAU5,Department 54,Australia,AUSTINMER,CA59,54 Jacabina Court,New South Wales,NSW,AU,2515,1Z 988 099 76 0187 939 5,(02) 4206 2512
DWHGB3,Department 98,United Kingdom,HENWICK,CHE7,98 Front St,,,GB,WR2 4GE,1Z 795 2V0 84 5173 950 3,070 8462 6411
DVSCA3,Department 1057,Canada,Sayward,CS07,1057 Noble Rd,British Columbia,BC,CA,V0P 1R0,1Z 333 807 40 1789 976 3,250-282-1359
D2TAU0,Department 22,Australia,TERALBA,CT47,22 Round Drive,New South Wales,NSW,AU,2284,1Z 375 15E 94 6631 856 0,(02) 4933 1591
DNWCA3,Department 4912,Canada,Windsor,CW27,4912 Lauzon Parkway,Ontario,ON,CA,N9A 7A2,1Z 574 8F7 23 5463 593 3,519-562-7075
DCACA5,Department 3534,Canada,Alexandra,CA79,3534 Alexandra Ct,Prince Edward Island,PE,CA,C1B 0P7,1Z Y06 A78 45 5988 979 5,902-368-6047
DHBGB8,Department 17,United Kingdom,BROOMFLEET,CBU10,17 Park End St,,,GB,HU15 3FU,1Z Y23 055 27 3388 327 8,070 8712 4714
DIHGB9,Department 91,United Kingdom,HAUGHLEY GREEN,CHU14,91 Warner Close,,,GB,IP14 0GU,1Z 973 755 94 9488 178 9,078 2505 9598
D3KUS4,Department 1213,United States,Kissimmee,CK19,1213 McDonald Avenue,Florida,FL,US,34741,1Z 971 571 43 7442 085 4,407-944-7971
DHSGB5,Department 48,United Kingdom,SWAINSHILL,CSX10,48 Golf Road,,,GB,HR4 6LX,1Z 0W4 617 10 1805 977 5,078 1970 4602
D8RUS0,Department 2907,United States,Reno,CR14,2907 Sheila Lane,Nevada,NV,US,89501,1Z 893 349 88 8834 574 0,775-417-5423
D4AAU1,Department 17,Australia,ADAVALE,CA47,17 George Street,Queensland,QLD,AU,4474,1Z 346 4A4 50 6890 862 1,(07) 4582 3641
D1PUS8,Department 3421,United States,Philadelphia,CP112,3421 Deercove Drive,Pennsylvania,PA,US,19111,1Z 093 E41 60 0142 832 8,215-214-0193
DOEGB5,Department 42,United Kingdom,EATON,CEW5,42 Haslemere Road,,,GB,OX13 0WW,1Z A26 799 15 0385 422 5,077 2549 1801
DSCCA0,Department 4674,Canada,Conquest,CC28,4674 St. John Street,Saskatchewan,SK,CA,S4P 3Y2,1Z 914 8F7 75 6427 902 0,306-856-3681
D7MAU3,Department 92,Australia,MIENA,CM05,92 Flinstone Drive,Tasmania,TAS,AU,7030,1Z 122 906 66 8127 545 3,(03) 6227 2920
D4GAT5,Department Enzersdorfer,Austria,GIERING,CG17,Enzersdorfer Strasse 19,Upper Austria,OO,AT,4621,1Z 946 3A9 17 0896 096 5,0660 632 43 51
D4RAT2,Department Stadionstrasse,Austria,REGAU,CR45,Stadionstrasse 54,Upper Austria,OO,AT,4844,1Z 2F4 6A8 56 3123 523 2,0650 562 84 57
DTCCA5,Department 4267,Canada,Calgary,CC97,4267 40th Street,Alberta,AB,CA,T2P 0R9,1Z 198 305 94 9507 337 5,403-410-6255
D7TUS7,Department 1142,United States,Texarkana,CT79,1142 Hall Place,Texas,TX,US,75507,1Z 971 290 52 3020 831 7,903-748-4094
